net,length_um
io_oeb[26],2660.26
io_oeb[25],2622.18
io_oeb[24],2583.42
io_oeb[23],2472.09
io_oeb[22],2458.09
io_in[21],2323.61
io_in[20],2163.71
io_in[19],2024.51
io_in[14],2021.54
wb_rst_i,1942.23
io_in[13],1931.1
io_in[15],1891.37
io_in[18],1864.61
io_in[12],1840.66
io_in[11],1750.9
io_in[17],1714.83
io_in[10],1660.46
io_in[9],1570.02
io_in[16],1565.51
io_in[8],1480.26
io_in[7],1389.82
io_in[6],1299.38
io_in[5],1275.58
io_out[26],1229.54
io_out[25],1191.46
io_out[24],1152.7
io_out[22],1067.97
io_out[23],1028.53
wb_clk_i,698.61
